Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Robo de celular,Sujetos en moto arrebataron celular en la parada del colectivo 114.,Inseguridad,-34.5984,-58.4201,15/11/2025
Bache peligroso,Pozo profundo en el carril derecho de Av. Corrientes al 3000.,Infraestructura,-34.6037,-58.4108,20/11/2025
Semáforo roto,Semáforo intermitente en cruce peligroso hace 2 días.,Tránsito,-34.6150,-58.3850,22/11/2025
Recital gratuito,Festival de música en Parque Centenario entrada libre.,Eventos,-34.6065,-58.4356,25/11/2025
Árbol caído,Rama de gran porte bloqueando la vereda tras la tormenta.,Infraestructura,-34.5890,-58.4000,28/11/2025
Demora por accidente,Choque entre dos autos genera congestión en Autopista.,Tránsito,-34.6280,-58.4500,29/11/2025
Feria vecinal,Feria de vecinos vendiendo ropa y antigüedades en la plaza.,Comunidad,-34.5700,-58.4400,29/11/2025
Calle inundada,Desagües tapados provocan anegamiento en la esquina tras la lluvia.,Clima,-34.6200,-58.3900,27/11/2025
Robo de bicicleta,Cortaron la cadena de la bici atada al poste mientras compraba.,Inseguridad,-34.5800,-58.4200,26/11/2025
Mascota perdida,Se busca perro Golden Retriever con collar rojo.,Mascotas,-34.6100,-58.4100,28/11/2025
